"","lonlat","Freq","lon","lat"
"326","-43.9344931 -19.9166813",3,"-43.9344931","-19.9166813"
"327","-44.5550308 -18.512178",2,"-44.5550308","-18.512178"
"328","-44.9331458 -21.9779646",1,"-44.9331458","-21.9779646"
"329","-46.5336521 -23.4543148",1,"-46.5336521","-23.4543148"
"330","-46.6291845 -23.5431786",1,"-46.6291845","-23.5431786"
"331","-46.6479086 -23.5680454",1,"-46.6479086","-23.5680454"
"332","-46.666163 -23.562156",1,"-46.666163","-23.562156"
"333","-47.0626332 -22.9099384",1,"-47.0626332","-22.9099384"
"334","-47.1947232 -22.4941883",1,"-47.1947232","-22.4941883"
"335","-47.2089525 -23.0886496",2,"-47.2089525","-23.0886496"
"336","-47.3337008 -22.7378203",1,"-47.3337008","-22.7378203"
"337","-47.4098328 -22.5836504",1,"-47.4098328","-22.5836504"
"338","-48.3242858 -10.249091",1,"-48.3242858","-10.249091"
"339","-48.374721 -1.3642722",1,"-48.374721","-1.3642722"
"340","-49.267137 -25.4289541",1,"-49.267137","-25.4289541"
"341","-49.4683145 -29.035031",1,"-49.4683145","-29.035031"
"342","-5.54708 7.539989",1,"-5.54708","7.539989"
"343","-5.580576 54.367727",1,"-5.580576","54.367727"
"344","-5.8593267 43.3613953",1,"-5.8593267","43.3613953"
"345","-5.9844589 37.3890924",1,"-5.9844589","37.3890924"
"346","-50.2188556 -27.2423392",1,"-50.2188556","-27.2423392"
"347","-50.5991792 -21.9071574",1,"-50.5991792","-21.9071574"
"348","-50.9196623 -17.7927442",1,"-50.9196623","-17.7927442"
"349","-51.1695824 -23.3044524",1,"-51.1695824","-23.3044524"
"350","-51.2176584 -30.0346471",1,"-51.2176584","-30.0346471"
"351","-51.2176986 -30.0346316",1,"-51.2176986","-30.0346316"
"352","-51.92528 -14.235004",16,"-51.92528","-14.235004"
"353","-55.765835 -32.522779",2,"-55.765835","-32.522779"
"354","-56.921099 -12.6818712",1,"-56.921099","-12.6818712"
"355","-58.2546051 -34.7206336",1,"-58.2546051","-34.7206336"
"356","-58.364641 -34.636595",1,"-58.364641","-34.636595"
"357","-58.3815591 -34.6036844",3,"-58.3815591","-34.6036844"
"358","-58.4302476 -34.7611823",2,"-58.4302476","-34.7611823"
"359","-58.7030326 -34.479665",1,"-58.7030326","-34.479665"
"360","-59.2643242 -29.1442242",1,"-59.2643242","-29.1442242"
"361","-6.106338 53.203327",1,"-6.106338","53.203327"
"362","-6.2603097 53.3498053",3,"-6.2603097","53.3498053"
"363","-6.2817908 53.39907",1,"-6.2817908","53.39907"
"364","-60.0217314 -3.1190275",1,"-60.0217314","-3.1190275"
"365","-60.9496433 13.720608",1,"-60.9496433","13.720608"
"366","-61.3268535 -4.4420385",1,"-61.3268535","-4.4420385"
"367","-62.2626627 3.7483614",1,"-62.2626627","3.7483614"
"368","-63.0574406 18.2148129",1,"-63.0574406","18.2148129"
"369","-63.5677427 44.6652059",1,"-63.5677427","44.6652059"
"370","-63.616672 -38.416097",2,"-63.616672","-38.416097"
"371","-64.7242645 46.4722761",1,"-64.7242645","46.4722761"
"372","-65.019406 46.550374",1,"-65.019406","46.550374"
"373","-66.58973 6.42375",6,"-66.58973","6.42375"
"374","-66.590149 18.220833",2,"-66.590149","18.220833"
"375","-66.817271 10.4740033",1,"-66.817271","10.4740033"
"376","-66.8564579 -29.4134538",1,"-66.8564579","-29.4134538"
"377","-66.9036063 10.4805937",6,"-66.9036063","10.4805937"
"378","-67.5827744 5.6614718",1,"-67.5827744","5.6614718"
"379","-67.824918 -9.9753837",1,"-67.824918","-9.9753837"
"380","-68.4323448 44.911707",1,"-68.4323448","44.911707"
"381","-68.8458386 -32.8894587",1,"-68.8458386","-32.8894587"
"382","-69.0067762 44.4258239",1,"-69.0067762","44.4258239"
"383","-69.4454689 45.253783",4,"-69.4454689","45.253783"
"384","-69.9298194 43.8922586",1,"-69.9298194","43.8922586"
"385","-7.5898434 33.5731104",1,"-7.5898434","33.5731104"
"386","-7.6920536 53.1423672",1,"-7.6920536","53.1423672"
"387","-70.0827905 41.7600902",1,"-70.0827905","41.7600902"
"388","-70.1515342 41.7020781",1,"-70.1515342","41.7020781"
