"","lon","lat"
"847",14.550072,47.516231
"848",NA,NA
"849",NA,NA
"850",110.8243272,-7.5754887
"851",-84.2700179,37.8393332
"852",73.8567437,18.5204303
"853",-83.985,42.43472
"854",NA,NA
"855",-80.3244957,25.8650961
"856",-95.3698028,29.7604267
"857",-87.8819594,37.1092162
"858",4.8951679,52.3702157
"859",-74.4056612,40.0583238
"860",-79.532157,43.8169837
"861",-70.0827905,41.7600902
"862",-120.5440391,38.4377698
"863",-96.8170178,32.7146754
"864",NA,NA
"865",NA,NA
"866",-73.4529124,44.6994873
"867",NA,NA
"868",-1.91483,53.259082
"869",-71.7833551,42.7799279
"870",-117.3961564,33.9533487
"871",-76.8846956,40.2323122
"872",-105.5141639,39.8019322
"873",-2.58791,51.454513
"874",-79.3831843,43.653226
"875",NA,NA
"876",-94.5785667,39.0997265
"877",-114.7420408,44.0682019
"878",NA,NA
"879",-122.3320708,47.6062095
"880",-76.6121893,39.2903848
"881",NA,NA
"882",-71.4372796,41.7798226
"883",-74.0059413,40.7127837
"884",-0.1934414,51.4911772
"885",-80.0684479,26.6167555
"886",-73.134961,40.789142
"887",-99.9018131,31.9685988
"888",-106.346771,56.130366
"889",-96.8485308,32.5636793
"890",-70.8967155,42.51954
"891",NA,NA
"892",-0.8897421,41.6488696
"893",-85.6023643,44.3148443
"894",-97.5164276,35.4675602
"895",NA,NA
"896",-95.712891,37.09024
"897",NA,NA
"898",-111.9013032,40.759236
"899",-51.92528,-14.235004
"900",NA,NA
"901",-73.990229,40.7188374
"902",135.7514114,35.0104252
"903",NA,NA
"904",-87.6297982,41.8781136
"905",NA,NA
"906",NA,NA
"907",-84.5039697,38.0306511
"908",-118.2436849,34.0522342
"909",-74.0059413,40.7127837
"910",NA,NA
"911",-75.1652215,39.9525839
"912",-87.6297982,41.8781136
"913",-83.985,42.43472
"914",-79.3831843,43.653226
"915",-117.1610838,32.715738
"916",-122.3320708,47.6062095
"917",-90.0715323,29.9510658
"918",NA,NA
"919",-85.6668498,42.9282502
"920",-82.9000751,32.1656221
"921",-101.8551665,33.5778631
"922",-82.3646068,41.4219889
"923",-121.4943996,38.5815719
"924",-96.7969879,32.7766642
"925",-77.5734048,37.5843082
"926",-95.3698028,29.7604267
"927",-80.1917902,25.7616798
"928",NA,NA
"929",-91.1403196,30.4582829
"930",-82.5436722,27.763383
"931",-82.9987942,39.9611755
"932",-96.7969879,32.7766642
"933",-95.3698028,29.7604267
"934",-117.7901088,33.7635422
"935",-0.697894,51.360343
"936",-102.4107493,34.2331373
"937",-4.1426565,50.3754565
"938",-8.1096142,54.653827
"939",-118.6523096,34.1602832
"940",-49.267137,-25.4289541
"941",-74.4056612,40.0583238
"942",-77.4752667,38.7509488
"943",NA,NA
"944",-99.9018131,31.9685988
"945",NA,NA
"946",-99.9018131,31.9685988
"947",NA,NA
"948",-81.6943605,41.49932
"949",-71.0723391,42.5039395
"950",12.4963655,41.9027835
"951",-1.1743197,52.3555177
"952",-93.6091064,41.6005448
"953",8.675277,9.081999
"954",-115.1398296,36.1699412
"955",-85.7584557,38.2526647
"956",-73.9746494,40.7609595
"957",-95.712891,37.09024
"958",-122.272747,37.8715926
"959",-72.2222323,44.0639777
"960",-84.0176904,33.6676103
"961",-87.3050893,39.4607942
"962",NA,NA
"963",-77.0368707,38.9071923
"964",-73.969863,40.750284
"965",NA,NA
"966",-74.0059413,40.7127837
"967",NA,NA
"968",-71.0247764,42.0950417
"969",-94.5785667,39.0997265
